"Madera sintética Deck Duralife  Spanish Cedar MVP Ranurado  0.9"" x 5.5"" x 20'",UND,"RD$2,850.00","RD$2,415.25",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Duralife Brazilian Cherry  1/2"" x 11-1/2"" x 12'",UND,"RD$2,995.00","RD$2,538.14",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Captiva  Cedro  1-1/4"" X 6' X 20'",UND,"RD$3,300.00","RD$2,796.61",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Capricorn  Koa 1-1/4"" x 6"" X 20'",UND,"RD$3,300.00","RD$2,796.61",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Capricorn Arábica 15/16"" x 5-7/16"" x 16'",UND,"RD$2,640.00","RD$2,237.29",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Capricorn Arábica 15/16"" x 5-7/16"" x 20'",UND,"RD$3,300.00","RD$2,796.61",,Plasticos Comerciales - Materiales generales
"Madera sintética Deck Capricorn Arábica sólida 15/16"" x 5-7/16"" x 16'",UND,"RD$2,900.00","RD$2,457.63",,Plasticos Comerciales - Materiales generales
Clip con tornillos para Madera Sintética ,UND,RD$25.00,RD$21.19,,Plasticos Comerciales - Materiales generales
Clips con tornillos Stowaway para Madera sintetica,UND,RD$30.00,RD$25.42,,Plasticos Comerciales - Materiales generales
"Plancha plywood 2 caras 3/4"" americana",UND,"RD$2,100.00","RD$1,779.66",,MINIBANNER CON LINK
"Plancha plywood 1 cara 3/4"" americana",UND,"RD$2,100.00","RD$1,779.66",,MINIBANNER CON LINK
"Plancha plywood 2 caras 3/4"" brasil",UND,"RD$1,300.00","RD$1,101.69",,MINIBANNER CON LINK
Clavos corriente con cabeza,LB,RD$40.00,RD$33.90,,MINIBANNER CON LINK
Clavos de acero,LB,RD$65.00,RD$55.08,,
"Soga de Nylon 1/16"" a 1""",LB,RD$120.00,RD$101.69,,MINIBANNER CON LINK
Hilo de Gangorra - Cono,UND,RD$175.00,RD$148.31,,MINIBANNER CON LINK
Hojas de segueta,UND,RD$65.00,RD$55.08,,MINIBANNER CON LINK
,,,,,
HORMIGON INDUSTRIALES ,,,,,
Hormigón 180 Kg/cm2 (incluye bomba y colocación),M3,"RD$6,300.00","RD$5,338.98",,MINIBANNER CON LINK
Hormigón 210 Kg/cm2 (incluye bomba y colocación),M3,"RD$6,550.00","RD$5,550.85",,MINIBANNER CON LINK
Hormigón 240 Kg/cm2 (incluye bomba y colocación),M3,"RD$6,900.00","RD$5,847.46",,MINIBANNER CON LINK
Hormigón 280 Kg/cm2 (incluye bomba y colocación),M3,"RD$7,261.00","RD$6,153.39",,MINIBANNER CON LINK
Hormigón 300 Kg/cm2 (incluye bomba y colocación),M3,"RD$7,186.80","RD$6,090.51",,MINIBANNER CON LINK
Hormigón 350 Kg/cm2 (incluye bomba y colocación),M3,"RD$7,700.00","RD$6,525.42",,MINIBANNER CON LINK
Hormigón 400 Kg/cm2 (incluye bomba y colocación),M3,"RD$8,056.00","RD$6,827.12",,MINIBANNER CON LINK
Hormigón 450 Kg/cm2 (incluye bomba y colocación),M3,"RD$8,374.00","RD$7,096.61",,MINIBANNER CON LINK
Hormigón 500 Kg/cm2 (incluye bomba y colocación),M3,"RD$8,776.80","RD$7,437.97",,MINIBANNER CON LINK
